абориген;туземец
абсолютный;безусловный
абсурд;вздор
автор;творец
авторитетный;влиятельный
пекло;чистилище
геенна;преисподняя
адресовать;направлять
адский;каторжный,дьявольский
азарт;пыл
обыкновенный;простой
акклиматизироваться;приспособляться
аккуратный;щепетильный,скрупулезный
аксиома;истина
актер;артист
акушерка;повитуха
алеть;краснеть
алкоголик;пьяница
алчный;жадный
алчущий;жаждущий
алый;красный
красть;воровать
амулет;талисман
амурный;любовный
аналогичность;соответствие,сходство
аналогичный;подобный
басня;сказка
анонимный;неизвестный
анонс;объявление
вражда;неприязнь
враг;неприятель
апеллировать;жаловаться
апелляция;жалоба
аплодировать;рукоплескать,хлопать
апогей;верх,вершина
вымышленный;мнимый
плеть;нагайка
аргумент;довод
аргументировать;доказывать
узник;заключенный
вельможа;магнат
достойный;благородный
аристократия;знать
аромат;запах
артачиться;упрямиться
артист;актер
архаический;устарелый
архиплут;плут
набор;комплект
астроном;звездочет
атаковать;нападать
атаман;главарь
баба;бабушка
багаж;груз
кладь;поклажа,клажа
багроветь;краснеть
багровый;багряный
базар;рынок
баиньки;спать
бал;банкет,пир
балабонить;болтать
балагур;болтун
балагурить;болтать
балакать;беседовать
балбес;дурак
баловаться;шалить
баловливый;шалун
баловник;проказник,озорник
бандит;злодей
банкет;бал,пир
барин;господин
барствовать;роскошевать
прибыток;доход,заработок
вымышленный;мнимый
басня;сказка
водоем;водоместилище
батрак;наймит
батюшка;священник
хвастать;похваляться
хвастовство;самохвальство
баюкать;усыплять
бдительный;внимательный
бегать;бежать
быстро;скоро
беда;горе,бедствие,несчастье
бедность;нищета
беднота;бедность
неимущий;убогий
бедственный;несчастный
бедствие;беда,горе
бедствовать;страдать
бежать;бегать
безалаберщина;беспорядок
безбедный;зажиточный
безбожник;грешник
безбожный;грешный
безбоязненный;безбоязный,бесстрашный,неустрашимый
безбоязный;безбоязненный
безмятежный;спокойный
безвестный;неизвестный
безвозвратный;бесповоротный,невозвратимый,невозвратный
безвозмездно;бесплатно,даром
безвозмездный;бесплатный
безволосый;лысый
безвременный;несвоевременный
безвыгодный;невыгодный
безотлучно;неотлучно
безрассудный;глупый
безграничный;бесконечный,безмерный,беспредельный,необъятный
бездействовать;бездельничать
бездельник;лентяй
бездна;пропасть
бездоказательный;недоказанный
бездомный;бесприютный
бездыханный;мертвый
безжалостность;жестокость
безжалостный;беспощадный,жестокий
безжизненный;мертвый
беззаботный;беззаботливый
беззаконие;безправие
беззаконник;законопреступник
беззаконный;преступный
беззапретно;беспрепятственно
беззаступный;беззащитный
беззащитный;беспомощный
безлюдный;пустынный
безмерный;безграничный
безмозглый;глупый
безмолвие;молчание
безмолвный;молчаливый
безмолвствовать;молчать
безмятежный;спокойный
безнравственность;распущенность
безнравственный;распутный,развратный
безобразие;бесчинство
безобразный;некрасивый
надежный;благонадежный
безотвязный;навязчивый
безотлагательно;срочно,неотложно,немедля
спешно;поспешно
безотлагательный;спешный
